stopword,id,created_at,updated_at
ada,1,"2021-09-17 01:48:18","2021-09-17 01:48:18"
adalah,2,"2021-09-17 01:48:36","2021-09-17 01:48:36"
adanya,3,"2021-09-17 01:48:39","2021-09-17 01:48:39"
adapun,4,"2021-09-17 01:48:41","2021-09-17 01:48:41"
agak,5,"2021-09-17 01:48:45","2021-09-17 01:48:45"
agaknya,6,"2021-09-17 01:48:47","2021-09-17 01:48:47"
agar,7,"2021-09-17 01:48:48","2021-09-17 01:48:48"
akan,8,"2021-09-17 01:48:50","2021-09-17 01:48:50"
akankah,9,"2021-09-17 01:48:53","2021-09-17 01:48:53"
akhir,10,"2021-09-17 01:48:57","2021-09-17 01:48:57"
akhiri,11,"2021-09-17 01:49:00","2021-09-17 01:49:00"
akhirnya,12,"2021-09-17 01:49:03","2021-09-17 01:49:03"
aku,13,"2021-09-17 01:49:05","2021-09-17 01:49:05"
akulah,14,"2021-09-17 01:49:07","2021-09-17 01:49:07"
amat,15,"2021-09-17 01:49:14","2021-09-17 01:49:14"
amatlah,16,"2021-09-17 01:49:17","2021-09-17 01:49:17"
anda,17,"2021-09-17 01:49:20","2021-09-17 01:49:20"
andalah,18,"2021-09-17 01:49:22","2021-09-17 01:49:22"
antar,19,"2021-09-17 01:49:25","2021-09-17 01:49:25"
antara,20,"2021-09-17 01:49:28","2021-09-17 01:49:28"
antaranya,21,"2021-09-17 01:49:31","2021-09-17 01:49:31"
apa,22,"2021-09-17 01:49:33","2021-09-17 01:49:33"
apaan,23,"2021-09-17 01:49:35","2021-09-17 01:49:35"
apabila,24,"2021-09-17 01:49:39","2021-09-17 01:49:39"
apakah,25,"2021-09-17 01:49:41","2021-09-17 01:49:41"
apalagi,26,"2021-09-17 01:49:43","2021-09-17 01:49:43"
apatah,27,"2021-09-17 01:49:51","2021-09-17 01:49:51"
artinya,28,"2021-09-17 01:49:54","2021-09-17 01:49:54"
asal,29,"2021-09-17 01:49:55","2021-09-17 01:49:55"
asalkan,30,"2021-09-17 01:49:57","2021-09-17 01:49:57"
ataupun,31,"2021-09-17 01:50:00","2021-09-17 01:50:00"
awal,32,"2021-09-17 01:50:02","2021-09-17 01:50:02"
awalnya,33,"2021-09-17 01:50:07","2021-09-17 01:50:07"
bagai,34,"2021-09-17 01:50:13","2021-09-17 01:50:13"
bagaikan,35,"2021-09-17 01:50:16","2021-09-17 01:50:16"
bagaimana,36,"2021-09-17 01:50:21","2021-09-17 01:50:21"
bagaimanakah,37,"2021-09-17 01:50:27","2021-09-17 01:50:27"
bagaimanapun,38,"2021-09-17 01:50:33","2021-09-17 01:50:33"
bagi,39,"2021-09-17 01:50:46","2021-09-17 01:50:46"
bagian,40,"2021-09-17 01:50:48","2021-09-17 01:50:48"
bahkan,41,"2021-09-17 01:50:50","2021-09-17 01:50:50"
bahwa,42,"2021-09-17 01:50:52","2021-09-17 01:50:52"
bahwasanya,43,"2021-09-17 01:50:56","2021-09-17 01:50:56"
baik,44,"2021-09-17 01:50:58","2021-09-17 01:50:58"
bakal,45,"2021-09-17 01:51:00","2021-09-17 01:51:00"
bakalan,46,"2021-09-17 01:51:02","2021-09-17 01:51:02"
alik,47,"2021-09-17 01:51:03","2021-09-17 01:51:03"
banyak,48,"2021-09-17 01:51:05","2021-09-17 01:51:05"
baru,49,"2021-09-17 01:51:07","2021-09-17 01:51:07"
bawah,50,"2021-09-17 01:51:09","2021-09-17 01:51:09"
beberapa,51,"2021-09-17 01:51:12","2021-09-17 01:51:12"
begini,52,"2021-09-17 01:51:14","2021-09-17 01:51:14"
beginian,53,"2021-09-17 01:51:18","2021-09-17 01:51:18"
beginikah,54,"2021-09-17 01:51:23","2021-09-17 01:51:23"
beginilah,55,"2021-09-17 01:51:27","2021-09-17 01:51:27"
